,Replica 1,Replica 2,Replica 3,Replica 4,Replica 5,Replica 6,Replica 7,Replica 8,MEAN,STD
Time (h),Density (cells/mL),Density (cells/mL),Density (cells/mL),Density (cells/mL),Density (cells/mL),Density (cells/mL),Density (cells/mL),Density (cells/mL),Mean density,Standard deviation
3.166666667,52370.83794,188368.5033,269844.9536,405435.9619,810692.6298,147595.9467,242696.3023,188368.5033,288171.7048,234358.6555
3.333333333,65982.07234,188368.5033,269844.9536,432523.7547,783746.0232,147595.9467,242696.3023,174780.1959,288192.219,227025.2937
3.5,106800.4763,215537.4875,283415.4698,432523.7547,729822.6638,174780.1959,269844.9536,201954.2669,301834.9086,197563.8932
3.666666667,65982.07234,229118.1657,283415.4698,446063.8547,608347.9289,147595.9467,283415.4698,242696.3023,288329.4013,169946.588
3.833333333,79590.75638,215537.4875,296983.4473,486668.9782,581325.8291,161189.3439,296983.4473,188368.5033,288330.9741,169183.9824
4,79590.75638,256271.898,337672.1549,513726.4205,594838.1399,161189.3439,310548.8868,215537.4875,308671.886,173383.1697
4.166666667,106800.4763,269844.9536,310548.8868,473136.4658,635359.944,174780.1959,296983.4473,215537.4875,310373.9821,170189.4946
4.333333333,106800.4763,256271.898,324111.7891,540773.7577,581325.8291,201954.2669,296983.4473,201954.2669,313771.9664,166756.238
4.5,174780.1959,296983.4473,351229.9849,527251.3519,581325.8291,242696.3023,364785.2799,215537.4875,344323.7348,145405.3565
4.666666667,134000.0035,256271.898,324111.7891,513726.4205,729822.6638,229118.1657,337672.1549,459601.4248,373040.5651,188873.6073
4.833333333,174780.1959,283415.4698,418981.124,500198.9629,567810.9956,242696.3023,378338.0406,269844.9536,354508.2556,135475.1415
5,147595.9467,310548.8868,364785.2799,513726.4205,635359.944,256271.898,405435.9619,283415.4698,364642.476,153788.0823
5.166666667,161189.3439,296983.4473,405435.9619,513726.4205,1360893.646,283415.4698,351229.9849,283415.4698,457036.218,379371.692
5.333333333,188368.5033,283415.4698,391888.2676,594838.1399,675859.0705,256271.898,378338.0406,269844.9536,379853.0429,172098.7738
5.5,201954.2669,296983.4473,405435.9619,567810.9956,554293.6387,269844.9536,405435.9619,296983.4473,374842.8341,133282.9221
5.666666667,215537.4875,378338.0406,432523.7547,581325.8291,716335.5392,296983.4473,446063.8547,351229.9849,427292.2422,159308.5751
